dataset,strategy,seed,metric,value
mnist,mf,51,unlearning_score,0.5609
mnist,mf,51,forget_confidence_mean_unlearned,0.6108
mnist,mf,51,forget_entropy_mean_unlearned,1.1104
mnist,mf,51,mia_accuracy_unlearned,0.4970
mnist,mf,51,mia_improvement,0.0016
mnist,mf,51,js_divergence_mean,0.3384
mnist,mf,51,activation_cosine_similarity,0.3784
mnist,mf,51,retrain_fraction,0.0400
adult,exact_retraining,42,utility_accuracy_test,0.8478
adult,exact_retraining,42,unlearning_score,-0.0156
adult,exact_retraining,42,forget_confidence_mean_unlearned,0.8557
adult,exact_retraining,42,forget_entropy_mean_unlearned,0.3134
adult,exact_retraining,42,mia_accuracy_unlearned,0.5021
adult,exact_retraining,42,mia_improvement,0.0063
adult,exact_retraining,42,js_divergence_mean,0.0161
adult,exact_retraining,42,activation_cosine_similarity,0.1339
adult,exact_retraining,42,retrain_fraction,0.7375
adult,exact_retraining,43,utility_accuracy_test,0.8361
adult,exact_retraining,43,unlearning_score,-0.0164
adult,exact_retraining,43,forget_confidence_mean_unlearned,0.8560
adult,exact_retraining,43,forget_entropy_mean_unlearned,0.3119
adult,exact_retraining,43,mia_accuracy_unlearned,0.5236
adult,exact_retraining,43,mia_improvement,-0.0062
adult,exact_retraining,43,js_divergence_mean,0.0162
adult,exact_retraining,43,activation_cosine_similarity,0.1251
adult,exact_retraining,43,retrain_fraction,0.7375
adult,exact_retraining,44,utility_accuracy_test,0.8368
adult,exact_retraining,44,unlearning_score,-0.0169
adult,exact_retraining,44,forget_confidence_mean_unlearned,0.8595
adult,exact_retraining,44,forget_entropy_mean_unlearned,0.3075
adult,exact_retraining,44,mia_accuracy_unlearned,0.4978
adult,exact_retraining,44,mia_improvement,0.0152
adult,exact_retraining,44,js_divergence_mean,0.0186
adult,exact_retraining,44,activation_cosine_similarity,0.1200
adult,exact_retraining,44,retrain_fraction,0.7375
adult,exact_retraining,45,utility_accuracy_test,0.8453
adult,exact_retraining,45,unlearning_score,-0.0154
adult,exact_retraining,45,forget_confidence_mean_unlearned,0.8563
adult,exact_retraining,45,forget_entropy_mean_unlearned,0.3129
adult,exact_retraining,45,mia_accuracy_unlearned,0.4953
adult,exact_retraining,45,mia_improvement,0.0092
adult,exact_retraining,45,js_divergence_mean,0.0173
adult,exact_retraining,45,activation_cosine_similarity,0.1215
adult,exact_retraining,45,retrain_fraction,0.7375
adult,exact_retraining,46,utility_accuracy_test,0.8572
adult,exact_retraining,46,unlearning_score,-0.0160
adult,exact_retraining,46,forget_confidence_mean_unlearned,0.8562
adult,exact_retraining,46,forget_entropy_mean_unlearned,0.3103
adult,exact_retraining,46,mia_accuracy_unlearned,0.4861
adult,exact_retraining,46,mia_improvement,0.0136
adult,exact_retraining,46,js_divergence_mean,0.0178
adult,exact_retraining,46,activation_cosine_similarity,0.1374
adult,exact_retraining,46,retrain_fraction,0.7375
adult,exact_retraining,47,utility_accuracy_test,0.8440
adult,exact_retraining,47,unlearning_score,-0.0177
adult,exact_retraining,47,forget_confidence_mean_unlearned,0.8569
adult,exact_retraining,47,forget_entropy_mean_unlearned,0.3107
adult,exact_retraining,47,mia_accuracy_unlearned,0.4908
adult,exact_retraining,47,mia_improvement,0.0034
adult,exact_retraining,47,js_divergence_mean,0.0170
adult,exact_retraining,47,activation_cosine_similarity,0.1064
adult,exact_retraining,47,retrain_fraction,0.7375
adult,exact_retraining,48,utility_accuracy_test,0.8555
adult,exact_retraining,48,unlearning_score,-0.0173
adult,exact_retraining,48,forget_confidence_mean_unlearned,0.8576
adult,exact_retraining,48,forget_entropy_mean_unlearned,0.3108
adult,exact_retraining,48,mia_accuracy_unlearned,0.4933
adult,exact_retraining,48,mia_improvement,0.0170
adult,exact_retraining,48,js_divergence_mean,0.0163
adult,exact_retraining,48,activation_cosine_similarity,0.1135
adult,exact_retraining,48,retrain_fraction,0.7375
adult,exact_retraining,49,utility_accuracy_test,0.8612
adult,exact_retraining,49,unlearning_score,-0.0165
adult,exact_retraining,49,forget_confidence_mean_unlearned,0.8559
adult,exact_retraining,49,forget_entropy_mean_unlearned,0.3123
adult,exact_retraining,49,mia_accuracy_unlearned,0.5023
adult,exact_retraining,49,mia_improvement,0.0052
adult,exact_retraining,49,js_divergence_mean,0.0173
adult,exact_retraining,49,activation_cosine_similarity,0.1244
adult,exact_retraining,49,retrain_fraction,0.7375
adult,exact_retraining,50,utility_accuracy_test,0.8491
adult,exact_retraining,50,unlearning_score,-0.0171
adult,exact_retraining,50,forget_confidence_mean_unlearned,0.8555
adult,exact_retraining,50,forget_entropy_mean_unlearned,0.3127
adult,exact_retraining,50,mia_accuracy_unlearned,0.5077
adult,exact_retraining,50,mia_improvement,0.0013
adult,exact_retraining,50,js_divergence_mean,0.0166
adult,exact_retraining,50,activation_cosine_similarity,0.1330
adult,exact_retraining,50,retrain_fraction,0.7375
adult,exact_retraining,51,utility_accuracy_test,0.8637
adult,exact_retraining,51,unlearning_score,-0.0174
adult,exact_retraining,51,forget_confidence_mean_unlearned,0.8528
adult,exact_retraining,51,forget_entropy_mean_unlearned,0.3177
adult,exact_retraining,51,mia_accuracy_unlearned,0.5022
adult,exact_retraining,51,mia_improvement,0.0027
adult,exact_retraining,51,js_divergence_mean,0.0164
adult,exact_retraining,51,activation_cosine_similarity,0.1185
adult,exact_retraining,51,retrain_fraction,0.7375
adult,federated_exact_retraining,42,utility_accuracy_test,0.8351
