dataset,strategy,seed,metric,value
adult,sisa,42,utility_accuracy_test,0.8281
adult,sisa,42,unlearning_score,0.0165
adult,sisa,42,forget_confidence_mean_unlearned,0.6313
adult,sisa,42,forget_entropy_mean_unlearned,0.6448
adult,sisa,42,mia_accuracy_unlearned,0.5744
adult,sisa,42,mia_improvement,-0.0072
adult,sisa,42,js_divergence_mean,0.0888
adult,sisa,42,retrain_fraction,0.3414
adult,sisa,43,utility_accuracy_test,0.8245
adult,sisa,43,unlearning_score,0.0092
adult,sisa,43,forget_confidence_mean_unlearned,0.6330
adult,sisa,43,forget_entropy_mean_unlearned,0.6436
adult,sisa,43,mia_accuracy_unlearned,0.5874
adult,sisa,43,mia_improvement,-0.0201
adult,sisa,43,js_divergence_mean,0.0865
adult,sisa,43,retrain_fraction,0.3414
adult,sisa,44,utility_accuracy_test,0.8334
adult,sisa,44,unlearning_score,0.0199
adult,sisa,44,forget_confidence_mean_unlearned,0.6337
adult,sisa,44,forget_entropy_mean_unlearned,0.6435
adult,sisa,44,mia_accuracy_unlearned,0.5613
adult,sisa,44,mia_improvement,-0.0072
adult,sisa,44,js_divergence_mean,0.0894
adult,sisa,44,retrain_fraction,0.3414
adult,sisa,45,utility_accuracy_test,0.8183
adult,sisa,45,unlearning_score,0.0155
adult,sisa,45,forget_confidence_mean_unlearned,0.6372
adult,sisa,45,forget_entropy_mean_unlearned,0.6415
adult,sisa,45,mia_accuracy_unlearned,0.5925
adult,sisa,45,mia_improvement,-0.0216
adult,sisa,45,js_divergence_mean,0.0855
